original_index,location_name,latitude,longitude,city,state
416,Wayne County,42.28478,-83.26113,Romulus,michigan
417,Romulus,42.22226,-83.3966,Romulus,michigan
425,Scotland,56.0,-4.0,Saint Clair Shores,michigan
427,Saginaw County,43.33503,-84.05319,Saginaw,michigan
429,Town of Salem,41.48535,-72.26632,Salem Township,michigan
430,Saltillo,25.42321,-101.0053,Saltillo,michigan
432,Saugatuck,42.65502,-86.20198,Saugatuck,michigan
439,Shepherd,45.94357,-108.34235,Shepherd,michigan
439,Kout Narin BP Parish,-37.15012,141.68239,Shepherd,michigan
441,Perch River,44.07533,-76.00799,Sidnaw,michigan
442,Montcalm County,43.31096,-85.15252,Sidney,michigan
442,Town of Sidney,44.44622,-69.7521,Sidney,michigan
444,Village of South Rockwood,42.0598,-83.26527,South Rockwood,michigan
445,Southgate,39.072,-84.47272,Southgate,michigan
447,Southgate,39.072,-84.47272,Southgate,michigan
450,St. Clair County,33.7157,-86.31469,St. Clair,michigan
454,Little Rock,34.74648,-92.28959,St. Clair County,michigan
455,Sterling Heights,42.58031,-83.0302,Sterling Heights,michigan
456,Sterling Heights,42.58031,-83.0302,Sterling Heights,michigan
458,Old Stronach Cemetery,44.20722,-86.24341,Stronach,michigan
459,Eureka County,39.98389,-116.26856,Taylor,michigan
462,Lenawee County,41.89508,-84.06636,Tecumseh,michigan
462,Tecumseh,42.00393,-83.94494,Tecumseh,michigan
463,Thunder Bay International Airport,48.37194,-89.32389,Thunder Bay Island,michigan
463,Thunder Bay Island,45.06667,-83.55,Thunder Bay Island,michigan
463,Salt Lake City,40.76078,-111.89105,Thunder Bay Island,michigan
464,Traverse City,44.76306,-85.62063,Traverse City,michigan
464,Old Mission Peninsula School,44.87361,-85.52091,Traverse City,michigan
465,Traverse City,44.76306,-85.62063,Traverse City,michigan
466,Traverse City,44.76306,-85.62063,Traverse City,michigan
467,Traverse City,44.76306,-85.62063,Traverse City,michigan
468,Traverse City,44.76306,-85.62063,Traverse City,michigan
469,Traverse City,44.76306,-85.62063,Traverse City,michigan
470,Traverse City,44.76306,-85.62063,Traverse City,michigan
470,Sawyer Road Elementary School,33.98621,-84.52716,Traverse City,michigan
471,Traverse County,45.77218,-96.47164,Traverse City,michigan
471,Traverse City,44.76306,-85.62063,Traverse City,michigan
472,Traverse County,45.77218,-96.47164,Traverse City,michigan
472,Traverse City,44.76306,-85.62063,Traverse City,michigan
473,Traverse County,45.77218,-96.47164,Traverse City,michigan
473,Traverse City,44.76306,-85.62063,Traverse City,michigan
474,Trenton,40.21705,-74.74294,Trenton,michigan
474,Riverside County,33.74368,-115.99386,Trenton,michigan
475,Athens,37.98376,23.72784,Troy,michigan
477,Town of Rochester,41.75998,-70.83849,Troy,michigan
479,Louisiana State University Highland Hall,30.41246,-91.17503,Union Lake,michigan
479,Oakland Community College,42.49281,-83.37049,Union Lake,michigan
479,Highland Lakes,33.39838,-86.6513,Union Lake,michigan
487,Vernon County,37.85058,-94.34244,Vernon,michigan
489,Salt Lake City,40.76078,-111.89105,Walled Lake,michigan
490,Waltz Mill,40.20868,-79.66754,Waltz,michigan
494,Warren County,41.33437,-93.56136,Warren,michigan
496,Agana Historic District,13.47522,144.74847,Warren,michigan
497,Warren County,41.33437,-93.56136,Warren,michigan
497,B.B.C. Miller Park,-33.0318,151.66789,Warren,michigan
499,Warren County,41.33437,-93.56136,Warren,michigan
501,Township of Watersmeet,46.246,-89.21405,Watersmeet,michigan
505,Wood Street Village,51.25098,-0.63695,Wayne,michigan
506,Crystal Palace,51.41934,-0.07854,Wayne,michigan
510,Green Lake County,43.80038,-89.04486,West Bloomfield,michigan
510,West Bloomfield Township,42.56891,-83.38356,West Bloomfield,michigan
511,West Bloomfield Township,42.56891,-83.38356,West Bloomfield,michigan
512,Wilaya de Blida,36.58333,3.0,West Bloomfield,michigan
512,West Bloomfield Township,42.56891,-83.38356,West Bloomfield,michigan
513,Westland,42.3242,-83.40021,Westland,michigan
514,Westland,42.3242,-83.40021,Westland,michigan
516,Marquette County,46.66295,-87.5735,Westland,michigan
